department,region,termination_date,bracket_salary,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,promotion_last_5years,resigned
support,US,09/05/2003,"low, 36000",0.75,1,5,223,6,0,0,1
sales,US,07/16/2017,"medium, 87000",0.68,0.78,5,233,3,0,0,0
sales,US,03/10/2016,"low, 50000",0.74,0.86,3,221,2,0,0,0
technical,US,09/07/2006,"low, 54000",0.41,0.56,2,143,3,0,0,1
technical,US,02/05/2002,"low, 34000",0.71,0.77,4,142,2,0,0,0
hr,US,02/21/2015,"medium, 66000",0.11,0.88,5,250,4,0,0,1
product_mng,US,11/10/2015,"medium, 88000",0.55,0.49,3,152,2,0,0,0
IT,Europe,29/12/2016,"low, 34000",0.59,0.81,6,123,5,0,0,0
hr,US,11/20/2006,"low, 45000",0.91,0.88,3,189,2,0,0,0
sales,US,03/18/2016,"medium, 89000",0.47,0.51,6,190,5,0,1,0
support,Canada,27/12/2016,"medium, 84000",0.61,0.73,3,165,3,1,0,0
support,US,10/08/2016,"low, 55000",0.98,0.89,4,218,2,0,0,0
technical,Europe,27/10/2003,"low, 44000",0.37,0.46,2,140,3,0,0,1
RandD,Canada,29/06/2007,"medium, 77000",0.6,0.79,4,262,3,0,0,0
support,US,03/22/2005,"medium, 87000",0.51,0.57,3,162,3,1,0,0
accounting,Europe,13/03/2007,"medium, 65000",0.66,0.62,4,250,2,0,0,0
RandD,US,12/11/2017,"low, 47000",0.73,0.97,4,163,3,0,0,0
sales,US,06/21/2003,"low, 56000",0.52,0.73,4,245,4,0,0,0
support,US,10/17/2017,"medium, 83000",0.78,0.51,3,172,3,0,0,0
product_mng,US,08/14/2015,"medium, 86000",0.65,0.52,4,266,3,1,0,0
support,US,04/04/2005,"medium, 88000",0.97,0.62,3,167,3,0,0,0
accounting,US,06/10/2005,"medium, 65000",0.7,0.76,5,165,3,0,0,0
sales,Europe,27/11/2015,"low, 54000",0.23,0.5,2,150,6,0,0,0
sales,US,05/06/2004,"medium, 88000",0.43,0.56,2,157,3,0,0,1
IT,US,02/10/2016,"medium, 73000",0.88,0.83,4,273,10,0,0,0
sales,US,01/27/2007,"low, 31000",0.53,0.8,2,225,7,1,1,0
technical,US,04/20/2005,"high, 123000",0.44,0.48,2,143,3,0,0,1
IT,US,08/17/2016,"low, 47000",0.38,0.52,2,171,3,0,0,0
technical,US,06/24/2016,"low, 58000",0.53,1,3,164,4,0,0,0
sales,US,11/21/2009,"low, 53000",0.1,0.88,7,267,4,0,0,1
technical,US,11/18/2000,"medium, 89000",0.09,0.83,6,250,4,0,0,1
sales,US,02/07/2017,"medium, 65000",0.1,0.94,7,281,4,0,0,1
product_mng,Europe,05/01/2003,"low, 47000",0.98,0.63,3,285,6,0,0,0
IT,US,01/03/2003,"low, 46000",0.42,0.69,3,126,2,0,0,0
marketing,Europe,15/09/2006,"medium, 66000",0.69,0.94,3,170,3,0,0,0
RandD,Europe,09/08/2003,"low, 51000",0.84,0.5,3,227,2,0,0,0
technical,US,07/06/2004,"medium, 70000",0.62,0.51,3,222,3,1,0,0
support,Europe,25/10/2015,"low, 41000",0.82,0.49,5,203,6,0,0,0
hr,APAC,09/11/1987,"low, 45000",0.96,0.88,5,269,2,0,0,0
support,US,06/30/2015,"low, 60000",0.91,0.99,5,228,4,1,0,0
accounting,US,12/02/2013,"low, 31000",0.78,0.5,4,212,2,0,0,0
support,Europe,11/06/2005,"medium, 74000",0.99,0.86,3,167,2,0,0,0
technical,US,03/20/2017,"medium, 75000",0.5,0.63,4,229,4,0,0,0
IT,Europe,14/04/2009,"medium, 90000",0.28,0.94,6,167,3,1,0,0
accounting,US,03/16/2017,"medium, 67000",0.11,0.88,7,305,4,0,0,1
support,US,10/12/2016,"medium, 72000",0.76,0.61,3,141,2,0,0,0
RandD,US,12/28/2012,"medium, 88000",0.1,0.8,6,264,4,0,0,1
IT,US,02/18/2015,"low, 52000",0.37,0.52,2,143,3,0,0,1
support,US,03/01/2015,"medium, 89000",0.46,0.54,2,144,3,0,0,1
support,Canada,14/09/2006,"medium, 63000",0.49,0.63,3,175,2,0,0,0
sales,US,03/02/2004,"low, 49000",0.83,0.48,4,220,3,1,0,0
sales,US,09/12/2002,"high, 204000",0.61,0.46,3,171,3,0,0,0
support,US,12/10/2008,"medium, 87000",0.41,0.46,2,128,3,0,0,1
technical,US,07/18/2014,"medium, 69000",0.71,0.98,5,167,3,0,0,0
RandD,US,07/06/2014,"low, 52000",0.74,0.75,2,137,3,1,0,0
sales,US,10/28/2004,"medium, 80000",0.81,0.9,4,270,10,0,0,0
IT,APAC,19/09/1988,"low, 34000",0.64,0.93,4,233,2,1,0,0
technical,US,11/07/2017,"medium, 74000",0.37,0.57,2,133,3,0,0,1
support,US,06/25/2015,"low, 33000",0.96,0.64,3,166,2,0,0,0
management,US,04/21/2016,"low, 55000",0.81,0.81,4,218,5,1,0,1
sales,US,11/29/2011,"low, 40000",0.4,0.49,2,149,3,0,0,1
support,US,03/08/2017,"medium, 74000",0.81,0.98,6,196,2,0,0,0
product_mng,US,12/11/2003,"high, 111000",0.2,0.7,4,225,5,0,0,0
RandD,APAC,03/06/2016,"medium, 79000",0.36,0.5,2,132,3,0,0,1
technical,Europe,06/10/2002,"medium, 90000",0.56,0.68,3,149,2,0,0,0
technical,US,01/06/2017,"medium, 84000",0.17,0.73,5,258,4,0,0,0
accounting,US,12/25/2016,"low, 43000",0.6,0.52,3,183,2,0,0,0
sales,US,03/10/2010,"medium, 67000",0.36,0.95,3,206,4,0,0,0
technical,US,02/29/2004,"low, 36000",0.58,0.7,5,151,4,0,0,0
IT,APAC,23/01/2002,"low, 110000",0.6,0.85,5,187,4,0,0,0
IT,US,07/17/2016,"medium, 70000",0.57,0.61,4,158,5,0,0,1
RandD,US,11/21/2017,"medium, 78000",0.73,0.69,3,228,2,0,1,0
technical,US,05/27/2017,"low, 60000",0.37,0.55,2,127,3,0,0,1
support,Europe,15/12/2017,"low, 35000",0.77,0.91,5,268,3,1,0,0
technical,US,02/22/2017,"medium, 70000",0.49,0.54,6,214,3,0,0,0
marketing,US,12/28/2015,"low, 52000",0.83,0.83,5,260,5,0,0,1
accounting,US,10/02/2009,"low, 45000",0.5,0.71,4,163,8,0,1,0
marketing,US,03/13/2016,"low, 56000",0.4,0.48,4,97,2,0,0,0
support,Europe,17/07/2005,"low, 33000",0.44,0.5,2,130,3,0,0,1
accounting,Europe,30/07/2017,"medium, 70000",0.09,0.81,6,257,4,0,0,1
marketing,Europe,27/08/2006,"low, 56000",0.51,0.83,5,249,4,0,0,1
technical,Europe,24/03/2002,"low, 60000",0.7,0.56,4,107,6,0,0,0
accounting,Europe,28/09/2016,"low, 50000",0.6,0.89,3,167,4,0,0,0
RandD,US,09/25/2006,"low, 52000",0.39,0.57,2,150,3,0,0,1
IT,US,03/10/2016,"low, 36000",0.7,0.84,2,114,4,0,0,0
support,US,05/30/1988,"high, 138000",0.75,0.75,3,273,3,0,0,0
sales,Europe,05/11/2004,"low, 53000",0.49,0.94,4,175,3,0,0,0
management,US,11/30/1992,"medium, 76000",0.95,0.65,3,183,3,0,0,0
IT,US,07/20/2011,"medium, 88000",0.61,0.79,5,230,10,0,0,0
technical,US,09/07/2015,"medium, 68000",0.93,0.57,3,141,2,0,0,0
support,Europe,22/09/2003,"low, 31000",0.65,0.7,3,141,4,0,0,0
hr,Europe,31/07/2005,"medium, 74000",0.21,0.66,4,165,5,0,0,0
support,US,09/23/2016,"low, 57000",1,0.52,4,171,4,0,0,0
technical,US,08/10/2015,"medium, 82000",0.81,0.87,4,203,2,0,0,0
sales,US,01/15/2007,"medium, 88000",0.81,0.55,3,199,2,1,0,0
IT,US,02/22/2001,"low, 58000",0.58,0.97,3,186,3,0,1,0
sales,US,08/11/2015,"low, 49000",0.56,0.57,5,274,3,0,0,0
support,US,08/29/2007,"low, 31000",0.73,0.83,5,266,5,0,0,0
support,US,12/05/2006,"medium, 71000",0.5,0.84,3,259,2,0,0,0
support,US,07/14/2015,"low, 46000",0.75,0.48,3,250,5,0,0,0
sales,US,01/07/2010,"low, 50000",0.2,0.94,6,191,5,0,0,0
IT,APAC,05/11/2002,"medium, 79000",0.18,0.94,3,187,6,1,0,0
technical,Europe,01/07/2015,"low, 42000",0.84,0.93,3,159,3,0,0,0
sales,US,10/21/2005,"medium, 84000",0.5,0.98,5,177,4,0,0,0
technical,US,04/03/2000,"low, 36000",0.98,0.66,3,150,3,0,0,0
product_mng,Europe,02/11/2015,"medium, 74000",0.15,0.95,4,173,5,1,0,0
sales,US,07/24/2006,"medium, 84000",0.12,0.42,3,110,2,0,0,0
sales,Europe,30/09/2003,"low, 35000",0.97,0.69,4,134,3,0,0,0
hr,US,10/17/2004,"medium, 82000",0.92,0.66,3,230,3,0,0,0
product_mng,US,01/20/2005,"low, 56000",0.76,0.57,5,255,4,0,0,0
support,US,05/17/2016,"low, 40000",0.81,0.62,3,240,6,0,1,0
technical,US,04/03/2006,"low, 60000",0.38,0.94,5,252,5,0,0,0
hr,US,05/17/2016,"low, 38000",0.49,0.69,2,147,2,0,0,0
technical,US,09/15/2017,"low, 44000",0.74,0.71,4,133,2,0,0,0
accounting,Europe,24/03/2016,"medium, 68000",0.9,0.7,5,206,4,0,0,1
product_mng,US,05/31/2016,"medium, 64000",0.8,0.55,3,206,2,0,0,0
sales,US,04/23/2016,"low, 56000",0.71,0.7,4,213,3,0,0,0
sales,US,05/01/2004,"low, 44000",0.76,0.77,5,257,3,0,0,0
sales,US,02/16/1988,"low, 45000",0.52,0.83,2,227,4,0,0,0
sales,US,07/05/2007,"medium, 88000",0.65,0.62,4,258,2,0,0,0
technical,US,01/03/2011,"medium, 89000",0.69,0.93,3,233,3,0,0,0
support,US,06/09/2008,"high, 232000",0.79,0.66,4,243,3,0,0,0
support,APAC,28/11/2000,"low, 55000",0.81,0.76,4,177,3,0,0,0
management,Europe,11/01/2009,"high, 120000",0.38,0.46,2,137,3,0,0,1
technical,Europe,18/11/2000,"medium, 84000",0.95,0.54,4,255,2,0,0,0
technical,US,09/25/2002,"low, 45000",0.44,0.53,2,140,3,0,0,1
IT,US,08/14/2016,"medium, 62000",0.71,0.79,3,189,3,0,0,0
technical,US,02/18/2016,"high, 167000",0.2,0.97,4,237,5,0,0,0
hr,US,03/26/2016,"medium, 62000",0.48,0.49,3,268,3,0,0,0
support,US,11/08/2017,"low, 58000",0.36,0.61,4,166,4,0,0,0
technical,US,11/09/2013,"low, 33000",0.4,0.53,2,158,3,0,0,1
support,US,01/22/2011,"medium, 61000",0.75,0.93,3,247,2,0,0,0
management,Canada,16/03/2008,"low, 41000",0.87,0.77,3,190,3,0,0,0
sales,Europe,21/01/2016,"low, 39000",0.12,0.42,3,110,2,0,0,0
IT,US,09/22/2015,"medium, 62000",0.37,0.54,2,152,3,0,0,1
support,US,06/04/2016,"medium, 79000",0.48,0.89,3,261,2,0,0,0
sales,US,12/28/2017,"low, 50000",0.95,0.9,4,221,10,1,0,0
support,Europe,23/05/2007,"medium, 84000",0.56,0.71,4,296,2,0,0,1
sales,US,12/18/2015,"medium, 66000",0.66,0.77,4,188,2,0,0,0
support,US,02/08/2003,"medium, 88000",0.53,0.77,2,167,2,0,0,0
sales,Europe,12/06/2009,"high, 179000",0.9,0.57,4,186,4,0,0,0
marketing,US,08/17/2005,"low, 60000",0.96,0.51,3,241,6,1,0,0
marketing,US,01/23/2016,"medium, 67000",0.6,0.96,4,99,6,0,0,0
IT,US,07/05/2014,"medium, 78000",0.56,0.64,3,270,3,0,0,0
technical,US,10/14/2016,"medium, 69000",0.46,0.57,2,145,3,0,0,1
sales,Europe,17/12/2016,"medium, 86000",0.23,0.59,5,245,5,0,0,0
sales,US,05/31/2015,"medium, 85000",0.37,0.47,2,152,3,0,0,1
technical,US,09/22/2011,"low, 38000",0.58,0.9,5,257,3,0,0,0
support,US,12/03/2015,"medium, 79000",0.63,0.98,4,175,2,0,0,0
technical,US,10/28/2009,"low, 40000",0.59,0.56,5,162,4,0,0,0
technical,US,09/01/2002,"low, 51000",0.97,1,5,251,2,0,0,0
support,Europe,29/05/2005,"low, 39000",0.69,0.72,2,190,2,0,0,0
support,US,09/17/2013,"medium, 65000",0.38,0.51,2,159,3,0,0,1
management,US,03/04/2016,"high, 155000",0.16,0.69,4,187,5,0,0,0
sales,US,10/26/2002,"high, 183000",0.44,0.51,2,145,3,0,0,1
IT,Europe,13/05/2016,"medium, 84000",0.46,0.54,2,138,3,0,0,1
technical,Europe,06/09/1989,"low, 44000",0.14,0.54,5,275,4,1,0,0
support,US,05/06/2016,"low, 57000",0.64,0.58,5,115,5,0,0,0
management,US,02/07/2009,"medium, 88000",0.97,0.55,2,267,4,0,0,0
support,Canada,02/11/2005,"medium, 85000",0.88,0.92,3,179,3,0,0,0
RandD,US,03/18/2016,"medium, 77000",0.61,0.67,4,151,3,0,0,0
sales,US,08/31/2006,"medium, 62000",0.82,0.69,3,250,3,0,0,0
sales,US,04/07/1989,"low, 56000",0.56,0.81,4,216,2,0,0,0
marketing,US,01/26/2016,"low, 54000",0.83,0.87,3,230,3,0,1,0
RandD,US,04/27/2015,"low, 44000",0.25,0.45,3,228,5,0,0,0
sales,Canada,14/05/2007,"low, 43000",0.57,0.7,3,273,6,0,0,1
IT,US,03/18/2015,"low, 57000",0.73,0.52,4,162,3,0,0,0
marketing,US,02/05/2000,"medium, 76000",0.75,0.56,4,230,3,0,0,0
support,US,07/20/2017,"low, 54000",0.89,0.5,2,238,4,0,0,0
sales,US,03/09/2011,"high, 134000",0.49,0.89,4,201,8,0,0,0
sales,Europe,20/10/2016,"low, 57000",0.97,0.7,4,218,2,0,0,0
IT,US,11/03/2016,"low, 54000",0.95,0.7,4,267,3,1,0,0
sales,US,01/13/2003,"medium, 79000",0.9,0.56,3,151,3,0,0,0
hr,Canada,17/09/2016,"low, 48000",0.51,0.86,4,260,3,1,0,0
sales,Europe,17/04/2004,"medium, 82000",0.87,0.68,4,246,2,0,0,0
sales,US,12/28/2009,"low, 58000",0.58,0.65,5,187,2,0,0,0
sales,US,08/19/2016,"low, 50000",0.86,0.89,4,136,4,0,0,0
sales,US,03/23/2007,"medium, 61000",0.89,0.58,4,232,2,0,0,0
product_mng,Europe,12/02/2006,"medium, 69000",0.86,0.94,5,224,5,0,0,1
technical,Europe,25/05/2016,"medium, 73000",0.54,0.83,3,201,3,0,0,0
RandD,US,03/27/2010,"high, 185000",0.93,0.89,4,209,2,0,0,0
management,US,03/27/2009,"medium, 103000",0.85,0.54,4,174,2,0,0,0
RandD,US,08/26/2017,"medium, 84000",0.19,0.76,3,107,5,0,0,0
IT,US,01/14/2016,"medium, 68000",0.55,0.82,3,248,2,0,0,0
sales,Europe,13/12/2016,"high, 140000",0.11,0.85,6,308,5,0,0,1
management,US,01/11/2006,"medium, 85000",0.23,0.78,4,154,6,1,0,0
RandD,US,08/13/2017,"low, 30000",0.84,0.79,2,150,3,0,0,0
sales,US,01/03/2017,"medium, 82000",0.19,0.78,5,156,6,0,0,0
product_mng,US,07/03/2017,"medium, 70000",0.19,0.92,5,193,6,0,0,0
sales,Europe,04/01/2018,"low, 50000",0.91,0.99,5,152,3,0,0,0
support,US,07/09/2006,"low, 58000",0.96,0.68,3,132,2,0,0,0
technical,US,08/04/2006,"medium, 88000",0.42,0.56,2,128,3,0,0,1
technical,US,12/01/2007,"low, 40000",0.75,0.64,3,195,3,0,0,0
sales,US,12/20/2007,"low, 40000",0.8,0.65,3,135,3,0,1,0
support,US,03/25/2008,"high, 193000",0.57,0.47,2,158,2,0,0,0
RandD,Canada,02/08/2015,"low, 58000",0.58,0.69,3,146,4,0,0,0
hr,Europe,06/03/2015,"low, 31000",0.6,0.56,4,260,3,0,0,0
sales,US,01/23/2018,"low, 49000",0.43,0.38,2,278,3,1,0,0
technical,US,12/14/2015,"low, 58000",0.5,0.64,4,208,2,0,0,0
accounting,Europe,08/12/2015,"low, 50000",0.29,0.48,2,116,6,1,0,0
support,Europe,30/03/2007,"medium, 81000",0.87,0.98,4,248,5,0,0,1
sales,US,11/24/2016,"high, 167000",0.54,0.97,4,258,3,0,0,0
technical,US,03/12/2005,"medium, 88000",0.32,0.58,5,271,5,0,0,1
sales,Canada,23/03/2017,"low, 60000",0.1,0.83,6,258,4,0,0,1
product_mng,US,11/21/2006,"low, 60000",0.96,0.57,3,151,2,0,0,0
technical,Canada,27/04/2016,"medium, 68000",0.77,0.91,5,274,3,0,0,0
sales,US,04/29/2001,"medium, 87000",0.74,0.89,5,232,6,0,0,1
sales,US,12/24/2017,"low, 35000",0.67,0.92,5,258,3,0,0,0
IT,Canada,19/08/2009,"medium, 67000",0.18,0.81,4,147,4,0,0,0
support,US,05/26/2015,"medium, 86000",0.7,0.52,5,200,2,1,0,0
sales,US,10/29/2004,"medium, 80000",0.11,0.9,6,263,4,0,0,1
IT,US,03/14/2004,"medium, 70000",0.72,0.88,3,224,3,0,0,0
support,Europe,20/01/2007,"low, 51000",0.69,0.51,3,257,3,1,0,0
support,US,05/14/2017,"low, 46000",0.89,1,5,253,5,0,0,1
IT,US,09/19/2006,"low, 48000",0.81,0.64,4,213,3,0,0,0
marketing,US,03/09/2015,"low, 37000",0.4,0.43,3,128,3,0,0,0
support,Europe,02/07/2016,"low, 44000",0.24,0.89,5,228,4,1,0,0
support,US,01/15/2013,"low, 37000",0.79,0.6,5,235,2,0,0,0
sales,US,12/30/2005,"low, 55000",0.42,0.48,2,143,3,0,0,1
sales,US,10/08/2017,"medium, 82000",0.75,0.55,3,162,3,0,0,0
sales,Europe,27/04/2008,"low, 43000",0.79,0.95,3,222,4,0,0,0
sales,US,06/06/2013,"medium, 77000",0.8,0.75,4,224,3,0,1,0
technical,US,12/31/2006,"medium, 80000",0.24,0.53,6,165,5,0,0,0
IT,US,05/14/2006,"low, 52000",0.93,0.6,4,184,3,0,0,0
sales,US,07/13/2010,"low, 52000",0.89,0.7,4,235,2,1,0,0
support,Canada,20/07/2017,"low, 50000",0.42,0.47,2,135,3,0,0,1
sales,US,01/20/2017,"medium, 78000",0.44,0.66,3,161,3,0,0,0
RandD,US,04/08/2016,"medium, 75000",0.97,0.76,3,193,3,0,0,0
IT,Europe,26/06/2003,"medium, 68000",0.76,0.56,5,222,10,0,0,0
technical,US,02/04/2013,"low, 60000",0.61,0.58,4,142,4,0,0,0
RandD,US,01/15/2002,"medium, 77000",0.74,0.54,6,113,3,0,0,0
accounting,Europe,28/07/2005,"high, 194000",0.55,0.6,3,180,4,0,0,1
sales,US,09/06/2016,"medium, 79000",0.11,0.85,6,295,4,0,0,1
IT,US,07/05/2016,"medium, 80000",0.97,0.58,4,187,4,1,0,0
technical,US,02/13/2003,"medium, 89000",0.29,0.95,5,117,4,0,0,0
sales,US,11/25/2003,"medium, 87000",0.43,0.53,2,147,3,0,0,1
support,US,02/24/1988,"medium, 74000",0.66,0.8,4,252,3,0,0,0
sales,Europe,21/05/2015,"medium, 77000",0.43,0.53,2,136,3,0,0,1
technical,US,09/30/2003,"medium, 87000",0.74,0.61,3,228,2,1,0,0
marketing,US,04/23/2014,"medium, 73000",1,0.67,5,241,4,0,0,0
support,US,07/14/2007,"low, 57000",0.71,0.68,4,221,4,0,0,0
technical,US,08/03/1988,"low, 32000",0.66,0.89,4,139,3,0,0,0
sales,US,04/20/2016,"high, 141000",0.97,0.61,3,208,3,0,0,0
marketing,US,03/25/2017,"low, 59000",0.83,0.95,3,264,2,0,0,0
technical,US,01/15/2009,"medium, 77000",0.66,0.9,3,176,2,1,0,0
sales,US,07/22/2017,"medium, 71000",0.64,0.63,3,156,6,1,0,0
technical,Europe,12/09/2005,"medium, 89000",0.56,0.56,5,229,4,1,0,0
technical,APAC,03/09/2013,"low, 37000",0.4,0.48,2,139,3,0,0,1
support,US,06/20/2016,"medium, 75000",0.79,0.49,3,273,3,0,0,0
product_mng,Canada,05/11/2014,"low, 36000",0.43,0.48,2,144,3,0,0,1
RandD,US,03/17/1992,"low, 44000",0.59,0.93,5,172,2,0,0,0
sales,US,09/13/2017,"low, 57000",0.82,0.8,4,246,3,0,0,0
sales,Europe,06/10/2016,"low, 46000",0.52,0.47,3,108,5,0,0,0
IT,US,01/25/2018,"low, 31000",0.38,0.51,2,146,3,0,0,1
technical,Canada,16/12/2010,"low, 60000",0.7,0.89,3,183,5,0,0,1
hr,Europe,12/06/2012,"medium, 87000",0.58,0.63,4,190,2,0,0,0
technical,US,01/23/2018,"low, 55000",0.9,0.69,3,231,4,0,0,0
sales,US,10/21/2002,"medium, 70000",0.17,0.4,4,286,3,0,0,0
technical,US,07/22/2016,"medium, 61000",0.44,0.61,5,230,6,0,0,0
RandD,Canada,11/05/2017,"low, 60000",0.4,0.49,2,128,3,0,0,1
accounting,US,01/17/2003,"medium, 71000",0.19,0.73,4,231,3,0,0,0
hr,US,07/18/2004,"low, 38000",0.52,0.59,2,176,3,1,0,0
sales,US,12/30/2015,"high, 123000",0.38,0.88,3,154,4,0,0,1
IT,US,03/11/2006,"low, 30000",0.84,0.8,4,236,3,0,0,0
marketing,APAC,13/10/2015,"medium, 66000",0.78,0.57,4,264,3,0,0,0
product_mng,US,08/20/2017,"medium, 67000",0.85,0.91,5,226,5,0,0,1
product_mng,Europe,12/03/2008,"medium, 80000",0.09,0.94,7,247,4,0,0,1
sales,US,09/05/2004,"medium, 71000",0.4,0.54,2,148,3,0,0,1
accounting,US,10/16/2017,"medium, 74000",0.5,0.72,3,182,2,1,0,0
IT,US,08/22/2015,"medium, 67000",0.37,0.49,2,148,3,0,0,1
sales,US,10/06/2016,"low, 45000",0.81,0.99,3,239,2,1,0,0
support,US,07/04/2004,"medium, 79000",0.87,0.55,4,197,3,0,0,0
support,Europe,01/09/2017,"low, 30000",0.84,0.54,4,156,4,0,0,0
management,US,05/17/2015,"low, 48000",0.67,0.64,4,149,4,0,0,0
marketing,US,01/12/2008,"low, 43000",0.77,0.83,5,216,4,0,0,0
technical,US,02/04/2010,"medium, 89000",0.4,0.51,2,156,3,0,0,1
accounting,US,10/29/2013,"medium, 88000",0.81,0.5,3,198,3,0,0,0
RandD,Europe,14/10/2003,"low, 36000",0.56,0.68,3,208,3,1,0,0
marketing,US,09/23/2015,"medium, 62000",0.93,0.88,4,261,4,0,0,0
IT,Canada,23/12/2016,"medium, 75000",0.87,0.62,5,197,2,0,0,0
sales,US,02/05/2017,"low, 51000",0.62,0.64,3,240,2,0,0,0
technical,US,11/05/2007,"low, 35000",0.87,0.9,4,256,5,0,0,1
sales,APAC,04/04/2017,"low, 44000",0.68,1,6,258,5,0,0,0
marketing,Canada,07/09/2017,"medium, 74000",0.41,0.47,2,154,3,0,0,1
accounting,US,08/18/2004,"low, 36000",0.26,0.73,4,178,6,0,0,0
technical,US,07/15/1998,"medium, 65000",0.75,0.71,4,155,4,0,0,0
support,Canada,26/03/2010,"low, 45000",0.53,0.84,4,219,2,0,0,0
technical,US,06/25/2016,"low, 45000",0.8,0.97,4,232,2,0,0,0
sales,US,02/15/2015,"medium, 62000",0.94,0.77,3,201,3,0,0,0
sales,US,05/04/2004,"medium, 89000",0.91,0.97,5,233,5,0,0,1
sales,US,01/08/2016,"medium, 77000",0.68,0.41,4,254,5,0,0,0
technical,Canada,20/09/2016,"low, 51000",0.9,0.62,3,254,3,0,0,0
sales,Canada,04/02/2015,"medium, 71000",0.78,0.99,3,174,3,0,0,0
sales,US,06/09/2016,"medium, 64000",0.51,0.83,3,136,3,0,0,0
sales,Canada,07/12/2013,"medium, 71000",0.88,0.72,3,200,2,1,0,0
accounting,US,06/19/2016,"medium, 87000",0.44,0.52,2,149,3,0,0,1
technical,US,03/20/2007,"low, 52000",0.19,0.91,3,268,4,0,0,0
IT,APAC,11/07/2003,"low, 38000",0.93,0.97,5,137,4,0,0,0
sales,US,03/01/2015,"low, 59000",0.5,0.52,2,178,2,0,0,0
sales,US,05/08/2003,"medium, 72000",0.47,0.41,2,140,3,0,0,0
product_mng,US,06/09/2017,"medium, 65000",0.88,0.66,4,133,2,0,0,0
management,US,06/21/2005,"medium, 86000",0.52,0.69,5,208,8,1,0,0
accounting,US,07/01/2003,"low, 51000",0.74,1,4,192,4,0,0,0
management,US,09/17/2017,"high, 176000",0.8,0.82,3,178,3,0,0,0
sales,US,08/27/2015,"low, 55000",0.5,0.53,3,191,2,1,0,0
support,US,04/05/2015,"low, 46000",0.61,0.77,5,232,7,0,0,0
marketing,US,06/16/2015,"medium, 84000",0.1,0.92,7,307,4,0,0,1
technical,US,04/30/2016,"medium, 109000",0.16,0.9,6,213,2,0,0,0
hr,US,11/16/2015,"medium, 72000",0.93,0.52,3,229,2,1,0,0
support,US,04/30/2016,"low, 43000",0.85,0.72,3,245,10,0,0,0
product_mng,US,11/15/2016,"high, 135000",0.71,0.97,5,208,8,1,0,0
support,US,01/20/2014,"low, 56000",0.11,0.92,6,281,4,0,0,1
support,US,07/01/2002,"low, 41000",0.95,0.74,4,258,3,0,0,0
sales,US,11/30/2016,"low, 49000",0.11,0.86,6,273,4,1,0,1
sales,US,10/10/2002,"low, 36000",0.67,0.64,4,190,2,0,0,0
sales,US,08/07/2017,"medium, 83000",0.37,0.45,2,151,3,0,0,1
support,US,06/19/2002,"low, 45000",0.59,0.59,4,197,7,0,0,0
RandD,US,05/01/2008,"low, 34000",0.94,0.66,3,236,2,0,0,0
hr,US,08/03/2016,"high, 169000",0.98,0.88,5,232,3,0,0,0
sales,US,02/20/2007,"medium, 85000",0.69,0.76,3,153,3,0,0,0
support,US,12/13/2015,"low, 42000",0.22,0.61,3,148,5,0,0,0
management,US,05/23/2000,"medium, 105000",0.9,0.66,3,231,3,0,0,0
sales,Canada,08/05/2015,"low, 59000",0.53,0.77,2,167,2,0,0,0
technical,Europe,19/09/2004,"medium, 84000",0.1,0.85,6,254,4,0,0,1
sales,US,05/09/2006,"medium, 61000",0.8,0.83,2,211,3,0,0,1
RandD,Canada,08/02/2006,"medium, 68000",0.57,0.73,3,146,3,0,0,0
product_mng,Europe,18/01/2013,"low, 54000",0.56,0.68,3,144,3,1,0,0
marketing,US,10/04/2005,"low, 41000",0.43,0.93,6,127,3,1,0,0
marketing,US,03/14/2017,"medium, 86000",0.54,0.78,3,156,7,0,0,0
support,Canada,24/11/2003,"low, 35000",0.4,0.69,2,174,3,0,0,0
technical,US,09/20/2007,"low, 55000",0.93,0.57,5,143,2,0,0,0
technical,US,01/22/2016,"low, 45000",0.62,0.82,3,204,10,0,0,0
accounting,US,08/11/1987,"low, 50000",0.45,0.53,2,155,3,0,0,1
RandD,US,09/01/2004,"medium, 104000",0.22,0.6,3,205,6,1,0,0
marketing,US,09/29/2016,"low, 41000",0.72,0.8,3,158,3,0,0,0
IT,US,05/05/2013,"low, 52000",1,0.56,3,182,3,0,0,0
hr,US,11/05/2009,"medium, 79000",0.75,0.51,2,215,2,1,0,0
sales,Europe,04/03/2015,"medium, 65000",0.43,0.51,2,155,3,0,0,1
sales,Canada,11/03/2006,"low, 60000",0.56,0.83,3,236,3,1,0,0
IT,US,08/18/2016,"medium, 68000",0.1,0.87,7,251,5,0,0,1
management,US,08/11/2014,"medium, 65000",0.79,0.65,5,215,2,1,0,0
marketing,US,06/09/2017,"medium, 67000",0.72,0.98,3,211,2,0,0,0
sales,US,01/21/2011,"low, 57000",0.91,0.95,5,241,5,0,0,1
hr,US,08/31/2007,"low, 40000",0.37,0.49,2,138,3,0,0,1
sales,APAC,13/12/2017,"medium, 82000",0.5,0.5,4,267,3,0,0,0
IT,US,12/12/2005,"low, 58000",0.44,0.41,3,125,7,0,0,0
support,Europe,05/05/2009,"low, 37000",0.21,0.61,6,159,5,1,0,0
technical,US,01/16/2003,"low, 31000",0.74,0.88,5,183,3,1,0,0
